"id"	"audio_url"	"transcript_url"
"126c783ed54cf252ed9130c2b476206a"	"http://mpegmedia.abc.net.au/news/audio/am/201503/20150307-sam06-hangingrock.mp3"	"http://www.abc.net.au/am/content/2015/s4193083.htm"
"1272b7abe2dc4400b1e3e3f9b0b78294"	"http://mpegmedia.abc.net.au/news/audio/pm/201410/20141008-pm03-hizbutfracas.mp3"	"http://www.abc.net.au/pm/content/2014/s4103005.htm"
"127de972f0ec1f8164a34c1c6b6b29d4"	"http://mpegmedia.abc.net.au/news/audio/am/201410/20141101-sam06-wanderers.mp3"	"http://www.abc.net.au/am/content/2014/s4119511.htm"
"1289228fc21cd5d0502c4e45d27b29ce"	"http://mpegmedia.abc.net.au/news/audio/am/201410/20141015-am08-bookerprize.mp3"	"http://www.abc.net.au/am/content/2014/s4107185.htm"
"12a6c58a9d4fee433779f15aebe73fa0"	"http://mpegmedia.abc.net.au/news/audio/twt/201411/20141126-twt06-soldierfacebook.mp3"	"http://www.abc.net.au/worldtoday/content/2014/s4136173.htm"
"12ae1a6f4a010516ad88d0de874e9973"	"http://mpegmedia.abc.net.au/news/audio/pm/201412/20141217-pm02-rashid.mp3"	"http://www.abc.net.au/pm/content/2014/s4150739.htm"
"12c4f02324032ca4e6632eab95027093"	"http://mpegmedia.abc.net.au/news/audio/pm/201411/20141110-pm02-russmorgan.mp3"	"http://www.abc.net.au/pm/content/2014/s4125407.htm"
"12d427283160d2adb9b8d8d5c7ffcd79"	"http://mpegmedia.abc.net.au/news/audio/pm/201412/20141202-pm02-wooldridgebanned.mp3"	"http://www.abc.net.au/pm/content/2014/s4140692.htm"
"12e8d2c52292a2079815f9896420d549"	"http://mpegmedia.abc.net.au/news/audio/pm/201410/20141031-rnpm03-applegay.mp3"	"http://www.abc.net.au/pm/content/2014/s4119220.htm"
"12ef5b4df9a812cede2f5d6a44113a32"	"http://mpegmedia.abc.net.au/news/audio/pm/201411/20141103-pm05-vicwrits.mp3"	"http://www.abc.net.au/pm/content/2014/s4120678.htm"
"131a9fbb3d3a7410519211b41aa34faa"	"http://mpegmedia.abc.net.au/news/audio/pm/201411/20141117-pm07-acossg20.mp3"	"http://www.abc.net.au/pm/content/2014/s4130304.htm"
"1325e5e8ef88f33379c545da2a9f0d6b"	"http://mpegmedia.abc.net.au/news/audio/pm/201411/20141126-pm02-lisamillar.mp3"	"http://www.abc.net.au/pm/content/2014/s4136609.htm"
"133cf714bdea955920fe3425efaebca4"	"http://mpegmedia.abc.net.au/news/audio/am/201410/20141020-am07-gasreport.mp3"	"http://www.abc.net.au/am/content/2014/s4110285.htm"
"135736e4fa554e2b735ae8b6cbd4e9e7"	"http://mpegmedia.abc.net.au/news/audio/twt/201411/20141128-twt01-copaymentfarce.mp3"	"http://www.abc.net.au/worldtoday/content/2014/s4138084.htm"
"136349bd441232e91a762e054664b55e"	"http://mpegmedia.abc.net.au/news/audio/pm/201411/20141128-pm10-italiandiaspora.mp3"	"http://www.abc.net.au/pm/content/2014/s4138599.htm"
"137b7c9d81cedd002fcea0c1558e8bb7"	"http://mpegmedia.abc.net.au/news/audio/twt/201503/20150323-twt09-alzheimersboost.mp3"	"http://www.abc.net.au/worldtoday/content/2015/s4202900.htm"
"13c0b2238275d0fe282bf8e03de4d417"	"http://mpegmedia.abc.net.au/news/audio/am/201410/20141022-am03-shorteniv.mp3"	"http://www.abc.net.au/am/content/2014/s4111984.htm"
"13cfcdc5f84b74c3f0ed9eec7ba4e01c"	"http://mpegmedia.abc.net.au/news/audio/am/201502/20150202-rnam-BishopGreste2.mp3"	"http://www.abc.net.au/am/content/2015/s4172135.htm"
"13f029a67732f784507490bdcdc89d41"	"http://mpegmedia.abc.net.au/news/audio/am/201412/20141212-eam01-abbottrecog.mp3"	"http://www.abc.net.au/am/content/2014/s4147299.htm"
"13f18c486cded74b09fddb021f99b53b"	"http://mpegmedia.abc.net.au/news/audio/am/201411/20141118-am06-csirocuts.mp3"	"http://www.abc.net.au/am/content/2014/s4130721.htm"
"13fdcadf3e848379f5091db7e564c0ce"	"http://mpegmedia.abc.net.au/news/audio/pm/201503/20150313-pm07-vanuatucyclone.mp3"	"http://www.abc.net.au/pm/content/2015/s4197359.htm"
"1407a9c647683f174985d47cfeb6c004"	"http://mpegmedia.abc.net.au/news/audio/pm/201411/20141124-pm04-lambiesenate.mp3"	"http://www.abc.net.au/pm/content/2014/s4134889.htm"
